ss,proc,rc,inhib,validity,acc,rt
1020,VisualAnalogy,1,no,valid,1,3618
1020,VisualAnalogy,1,yes,invalid,1,1825
1020,VisualAnalogy,2,yes,invalid,0,3690
1020,VisualAnalogy,2,no,valid,0,4554
1020,VisualAnalogy,2,yes,invalid,0,2071
1020,VisualAnalogy,1,yes,valid,1,2353
1020,VisualAnalogy,1,yes,invalid,0,1890
1020,VisualAnalogy,1,yes,invalid,1,3689
1020,VisualAnalogy,2,yes,invalid,0,4153
1020,VisualAnalogy,2,yes,invalid,1,2163
1020,VisualAnalogy,2,yes,valid,1,2143
1020,VisualAnalogy,1,yes,valid,0,2457
1020,VisualAnalogy,2,no,valid,1,1360
1020,VisualAnalogy,2,no,valid,0,4460
1020,VisualAnalogy,2,yes,valid,1,4324
1020,VisualAnalogy,1,no,valid,0,2385
1020,VisualAnalogy,1,no,valid,0,1659
1020,VisualAnalogy,2,no,valid,0,4129
1020,VisualAnalogy,2,no,valid,1,1209
1020,VisualAnalogy,2,yes,valid,0,4327
1020,VisualAnalogy,2,yes,valid,1,3236
1020,VisualAnalogy,1,yes,invalid,0,5528
1020,VisualAnalogy,1,no,valid,0,2809
1020,VisualAnalogy,1,yes,valid,1,1944
1020,VisualAnalogy,1,yes,invalid,1,2457
1020,VisualAnalogy,1,yes,invalid,0,1280
1020,VisualAnalogy,1,no,valid,0,3271
1020,VisualAnalogy,1,yes,invalid,0,4721
1020,VisualAnalogy,1,yes,invalid,0,2222
1020,VisualAnalogy,2,yes,invalid,0,3992
1020,VisualAnalogy,1,yes,valid,0,4850
1020,VisualAnalogy,1,yes,invalid,0,5338
1020,VisualAnalogy,2,no,valid,0,3906
1020,VisualAnalogy,2,no,valid,0,4027
1020,VisualAnalogy,1,yes,invalid,0,4126
1020,VisualAnalogy,1,yes,valid,1,4627
1020,VisualAnalogy,2,yes,invalid,1,2125
1020,VisualAnalogy,1,no,valid,1,4097
1020,VisualAnalogy,2,no,valid,0,1617
1020,VisualAnalogy,2,yes,valid,1,2240
1020,VisualAnalogy,2,no,valid,0,5452
1020,VisualAnalogy,2,yes,invalid,0,3980
1020,VisualAnalogy,2,yes,valid,0,4532
1020,VisualAnalogy,2,no,valid,1,2476
1020,VisualAnalogy,1,yes,valid,0,2264
1020,VisualAnalogy,2,yes,valid,1,1098
1020,VisualAnalogy,1,yes,valid,0,960
1020,VisualAnalogy,2,yes,invalid,1,3868
1020,VisualAnalogy,2,yes,valid,1,2526
1020,VisualAnalogy,2,yes,invalid,1,1139
1020,VisualAnalogy,1,yes,valid,0,513
1020,VisualAnalogy,2,yes,valid,1,4610
1020,VisualAnalogy,1,no,valid,0,1978
1020,VisualAnalogy,2,no,valid,1,897
1020,VisualAnalogy,2,yes,invalid,1,1215
1020,VisualAnalogy,1,no,valid,0,1917
1020,VisualAnalogy,1,yes,invalid,0,3978
1020,VisualAnalogy,1,yes,invalid,1,2337
1020,VisualAnalogy,1,no,valid,1,2576
1020,VisualAnalogy,1,no,valid,1,3439
1020,VisualAnalogy,1,yes,valid,1,956
1020,VisualAnalogy,2,yes,valid,1,2584
1020,VisualAnalogy,1,yes,invalid,0,947
1020,VisualAnalogy,1,yes,valid,1,2204
1020,VisualAnalogy,2,yes,valid,0,4512
1020,VisualAnalogy,1,yes,valid,1,2099
1020,VisualAnalogy,2,yes,valid,1,1458
1020,VisualAnalogy,1,yes,valid,1,6400
1020,VisualAnalogy,2,no,valid,0,4125
1020,VisualAnalogy,2,yes,valid,1,3378
1020,VisualAnalogy,1,yes,valid,0,1090
1020,VisualAnalogy,2,yes,invalid,0,2680
1020,VisualAnalogy,2,yes,valid,1,1917
1020,VisualAnalogy,1,yes,valid,0,1481
1020,VisualAnalogy,2,yes,invalid,0,4461
1020,VisualAnalogy,2,yes,valid,1,1800
1020,VisualAnalogy,2,yes,invalid,1,3356
1020,VisualAnalogy,2,no,valid,1,1576
1020,VisualAnalogy,1,yes,invalid,1,3071
1020,VisualAnalogy,2,no,valid,1,3681
1020,VisualAnalogy,2,yes,invalid,0,3518
1020,VisualAnalogy,1,no,valid,0,1563
1020,VisualAnalogy,2,yes,invalid,1,1215
1020,VisualAnalogy,1,no,valid,1,637
1020,VisualAnalogy,1,yes,invalid,1,745
1020,VisualAnalogy,1,yes,valid,1,234
1020,VisualAnalogy,2,yes,valid,1,435
1020,VisualAnalogy,1,no,valid,0,356
1020,VisualAnalogy,1,yes,invalid,1,1784
1020,VisualAnalogy,2,no,valid,1,1817
1020,VisualAnalogy,1,no,valid,1,1536
1020,VisualAnalogy,1,no,valid,0,767
1020,VisualAnalogy,1,no,valid,1,2146
1020,VisualAnalogy,2,no,valid,0,1995
1020,VisualAnalogy,2,yes,invalid,1,3623
1020,VisualAnalogy,1,yes,invalid,0,2650
1020,VisualAnalogy,2,no,valid,0,4585
1020,VisualAnalogy,1,yes,invalid,1,1451
1116,VisualAnalogy,2,no,valid,1,5867
1116,VisualAnalogy,1,yes,valid,1,4081
1116,VisualAnalogy,2,yes,valid,1,5843
1116,VisualAnalogy,1,yes,invalid,1,2982
1116,VisualAnalogy,1,yes,valid,1,3451
1116,VisualAnalogy,2,yes,valid,1,4314
1116,VisualAnalogy,1,no,valid,1,2906
1116,VisualAnalogy,1,no,valid,1,2269
1116,VisualAnalogy,2,yes,valid,1,9028
1116,VisualAnalogy,2,yes,invalid,1,6198
1116,VisualAnalogy,1,yes,invalid,1,2545
1116,VisualAnalogy,2,no,valid,1,7504
1116,VisualAnalogy,2,yes,invalid,1,6481
1116,VisualAnalogy,2,yes,invalid,1,8177
1116,VisualAnalogy,1,yes,invalid,1,4130
1116,VisualAnalogy,2,yes,valid,1,6154
1116,VisualAnalogy,2,no,valid,1,6989
1116,VisualAnalogy,1,yes,invalid,1,7153
1116,VisualAnalogy,2,yes,invalid,1,8455
1116,VisualAnalogy,1,no,valid,1,4319
1116,VisualAnalogy,2,yes,invalid,1,5519
1116,VisualAnalogy,1,yes,valid,1,4161
1116,VisualAnalogy,1,yes,invalid,1,3518
1116,VisualAnalogy,1,yes,valid,1,3691
1116,VisualAnalogy,2,yes,valid,1,6848
1116,VisualAnalogy,2,no,valid,1,5723
1116,VisualAnalogy,2,no,valid,1,7796
1116,VisualAnalogy,1,yes,valid,1,2495
1116,VisualAnalogy,1,no,valid,1,3806
1116,VisualAnalogy,1,no,valid,1,2435
1116,VisualAnalogy,1,no,valid,1,2168
1116,VisualAnalogy,2,no,valid,1,4660
1116,VisualAnalogy,2,yes,invalid,1,3284
1116,VisualAnalogy,2,yes,valid,1,6790
1116,VisualAnalogy,1,yes,valid,1,5940
1116,VisualAnalogy,1,yes,invalid,1,6419
1116,VisualAnalogy,2,yes,invalid,1,5748
1116,VisualAnalogy,2,yes,valid,1,5647
1116,VisualAnalogy,1,yes,valid,1,3044
1116,VisualAnalogy,2,yes,invalid,1,8563
1116,VisualAnalogy,1,yes,invalid,1,2338
1116,VisualAnalogy,1,yes,valid,1,2497
1116,VisualAnalogy,2,yes,invalid,1,6848
1116,VisualAnalogy,2,yes,valid,0,6809
1116,VisualAnalogy,1,yes,valid,1,3529
1116,VisualAnalogy,2,no,valid,1,3358
1116,VisualAnalogy,2,no,valid,1,6218
1116,VisualAnalogy,1,yes,invalid,0,1864
1116,VisualAnalogy,2,no,valid,1,4601
1116,VisualAnalogy,1,yes,valid,1,2862
1116,VisualAnalogy,1,no,valid,1,5307
1116,VisualAnalogy,2,no,valid,1,3843
1116,VisualAnalogy,2,yes,valid,1,5232
1116,VisualAnalogy,1,yes,invalid,1,2467
1116,VisualAnalogy,1,no,valid,1,2940
1116,VisualAnalogy,1,yes,invalid,1,3353
1116,VisualAnalogy,2,yes,valid,1,5382
1116,VisualAnalogy,2,yes,invalid,1,9656
1116,VisualAnalogy,1,no,valid,1,1813
1116,VisualAnalogy,2,yes,valid,1,4577
1116,VisualAnalogy,1,no,valid,1,4609
1116,VisualAnalogy,2,no,valid,1,6935
1116,VisualAnalogy,2,yes,invalid,1,3712
1116,VisualAnalogy,1,no,valid,1,3314
1116,VisualAnalogy,1,yes,invalid,1,3463
1116,VisualAnalogy,2,yes,valid,1,6329
1116,VisualAnalogy,1,yes,valid,1,6586
1116,VisualAnalogy,2,no,valid,1,4557
1116,VisualAnalogy,1,yes,valid,1,5946
1116,VisualAnalogy,2,yes,invalid,1,7853
1116,VisualAnalogy,1,yes,invalid,1,7182
1116,VisualAnalogy,1,no,valid,1,3033
1116,VisualAnalogy,2,yes,valid,1,5217
1116,VisualAnalogy,1,yes,invalid,1,2032
1116,VisualAnalogy,2,no,valid,1,4535
1116,VisualAnalogy,2,no,valid,1,3150
1116,VisualAnalogy,2,yes,valid,1,4416
1116,VisualAnalogy,2,yes,valid,1,4528
1116,VisualAnalogy,2,yes,invalid,1,5592
1116,VisualAnalogy,1,yes,invalid,1,3955
1116,VisualAnalogy,1,yes,valid,1,2488
1116,VisualAnalogy,2,no,valid,0,3210
1116,VisualAnalogy,1,no,valid,1,2345
1116,VisualAnalogy,1,no,valid,1,2267
1116,VisualAnalogy,2,yes,invalid,1,2364
1116,VisualAnalogy,2,no,valid,1,3681
1116,VisualAnalogy,1,no,valid,1,4685
1116,VisualAnalogy,1,yes,valid,0,2467
1116,VisualAnalogy,1,no,valid,1,4671
1116,VisualAnalogy,2,yes,invalid,1,5073
1116,VisualAnalogy,1,yes,valid,1,5411
1116,VisualAnalogy,2,yes,valid,1,5134
1116,VisualAnalogy,1,yes,valid,1,5758
1116,VisualAnalogy,2,yes,invalid,1,5532
1116,VisualAnalogy,2,yes,invalid,1,7868
1116,VisualAnalogy,2,no,valid,1,7183
1116,VisualAnalogy,1,yes,invalid,0,3643
1116,VisualAnalogy,1,no,valid,1,4416
1116,VisualAnalogy,2,yes,invalid,0,5087
1116,VisualAnalogy,2,yes,valid,1,3591
1116,VisualAnalogy,2,yes,valid,0,9506
1116,VisualAnalogy,1,yes,valid,1,3086
1116,VisualAnalogy,2,no,valid,1,4242
1116,VisualAnalogy,1,yes,invalid,1,1743
1116,VisualAnalogy,1,yes,invalid,1,4808
1116,VisualAnalogy,1,no,valid,1,7832
1116,VisualAnalogy,1,yes,invalid,1,2772
1116,VisualAnalogy,1,yes,valid,1,3003
1116,VisualAnalogy,2,yes,valid,1,3677
1116,VisualAnalogy,2,no,valid,1,4154
1116,VisualAnalogy,2,yes,valid,1,4036
1116,VisualAnalogy,1,yes,invalid,1,2697
1116,VisualAnalogy,1,yes,invalid,1,10016
1116,VisualAnalogy,1,no,valid,1,3170
1116,VisualAnalogy,2,no,valid,1,4297
1116,VisualAnalogy,1,no,valid,1,3233
1116,VisualAnalogy,2,yes,invalid,1,1987
1116,VisualAnalogy,2,yes,invalid,1,5453
1116,VisualAnalogy,1,yes,invalid,1,3548
1116,VisualAnalogy,1,yes,valid,1,5662
1116,VisualAnalogy,2,yes,valid,0,5721
1116,VisualAnalogy,1,no,valid,1,3022
1116,VisualAnalogy,1,no,valid,1,3992
1116,VisualAnalogy,1,yes,valid,0,3747
1116,VisualAnalogy,2,no,valid,1,5469
1116,VisualAnalogy,2,yes,invalid,1,8624
1116,VisualAnalogy,2,no,valid,1,9660
1116,VisualAnalogy,1,yes,valid,0,3272
1116,VisualAnalogy,2,yes,invalid,0,5202
1116,VisualAnalogy,1,yes,invalid,1,4335
1116,VisualAnalogy,2,yes,invalid,1,7967
1116,VisualAnalogy,1,no,valid,1,2887
1116,VisualAnalogy,1,yes,valid,1,1460
1116,VisualAnalogy,2,yes,valid,1,6146
1116,VisualAnalogy,2,no,valid,1,7037
1116,VisualAnalogy,1,yes,valid,0,4811
1116,VisualAnalogy,2,no,valid,1,7435
1116,VisualAnalogy,1,no,valid,1,3178
1116,VisualAnalogy,1,yes,invalid,1,3521
1116,VisualAnalogy,2,yes,valid,1,5182
1116,VisualAnalogy,1,yes,invalid,1,2696
1116,VisualAnalogy,1,yes,valid,1,4751
1116,VisualAnalogy,2,yes,valid,1,6722
1116,VisualAnalogy,2,yes,invalid,1,2272
1128,VisualAnalogy,2,no,valid,1,2619
1128,VisualAnalogy,1,yes,invalid,1,2291
1128,VisualAnalogy,1,no,valid,1,1690
1128,VisualAnalogy,1,yes,invalid,1,1784
1128,VisualAnalogy,1,no,valid,0,3226
1128,VisualAnalogy,2,yes,valid,1,2524
1128,VisualAnalogy,1,yes,valid,1,1680
1128,VisualAnalogy,2,no,valid,1,1740
1128,VisualAnalogy,1,no,valid,1,947
1128,VisualAnalogy,2,no,valid,1,2396
1128,VisualAnalogy,1,yes,valid,1,1321
1128,VisualAnalogy,1,yes,valid,1,1420
1128,VisualAnalogy,1,no,valid,1,1971
1128,VisualAnalogy,2,yes,valid,1,1690
1128,VisualAnalogy,2,yes,valid,0,1785
1128,VisualAnalogy,1,yes,valid,1,1802
1128,VisualAnalogy,1,no,valid,1,1374
1128,VisualAnalogy,1,yes,invalid,1,2477
1128,VisualAnalogy,2,yes,invalid,0,2057
1128,VisualAnalogy,1,yes,valid,1,1503
1128,VisualAnalogy,2,yes,invalid,1,1897
1128,VisualAnalogy,2,yes,invalid,1,2240
1128,VisualAnalogy,2,no,valid,0,3036
1128,VisualAnalogy,2,yes,invalid,1,2392
1128,VisualAnalogy,2,yes,valid,1,2770
1128,VisualAnalogy,2,no,valid,0,2825
1128,VisualAnalogy,2,yes,invalid,0,2075
1128,VisualAnalogy,2,yes,invalid,0,2455
1128,VisualAnalogy,1,yes,invalid,0,2126
1128,VisualAnalogy,1,yes,valid,1,1555
1128,VisualAnalogy,2,yes,valid,1,1684
1128,VisualAnalogy,2,yes,valid,1,2352
1128,VisualAnalogy,2,no,valid,0,2130
1128,VisualAnalogy,1,yes,invalid,1,1513
1128,VisualAnalogy,1,no,valid,0,1362
1128,VisualAnalogy,1,yes,invalid,1,2014
1128,VisualAnalogy,1,yes,invalid,1,2124
1128,VisualAnalogy,1,yes,valid,0,2656
1128,VisualAnalogy,1,no,valid,1,1535
1128,VisualAnalogy,2,yes,invalid,1,2910
1128,VisualAnalogy,1,no,valid,0,1760
1128,VisualAnalogy,1,no,valid,1,1820
1128,VisualAnalogy,1,yes,invalid,0,3587
1128,VisualAnalogy,2,yes,valid,1,3021
1128,VisualAnalogy,2,yes,valid,1,1604
1128,VisualAnalogy,2,yes,invalid,1,2080
1128,VisualAnalogy,2,yes,invalid,1,1965
1128,VisualAnalogy,2,yes,invalid,1,1841
1128,VisualAnalogy,1,yes,valid,1,2461
1128,VisualAnalogy,2,yes,valid,1,2948
1128,VisualAnalogy,1,yes,invalid,1,2285
1128,VisualAnalogy,2,no,valid,1,2449
1128,VisualAnalogy,2,no,valid,0,3848
1128,VisualAnalogy,1,yes,valid,0,2536
1128,VisualAnalogy,1,yes,invalid,1,1807
1128,VisualAnalogy,2,no,valid,0,2707
1128,VisualAnalogy,2,no,valid,1,2541
1128,VisualAnalogy,2,yes,valid,0,2740
1128,VisualAnalogy,2,no,valid,0,1587
1128,VisualAnalogy,2,yes,valid,0,2236
1128,VisualAnalogy,2,yes,invalid,0,2441
1128,VisualAnalogy,1,yes,valid,1,1885
1128,VisualAnalogy,1,yes,valid,1,1169
1128,VisualAnalogy,2,yes,invalid,1,2584
1128,VisualAnalogy,2,no,valid,0,1449
1128,VisualAnalogy,1,yes,invalid,1,1784
1128,VisualAnalogy,1,yes,invalid,1,1674
1128,VisualAnalogy,1,no,valid,1,1827
1128,VisualAnalogy,1,no,valid,1,1981
1128,VisualAnalogy,2,yes,valid,0,1091
1128,VisualAnalogy,1,yes,valid,1,2410
1128,VisualAnalogy,1,no,valid,1,1289
1128,VisualAnalogy,1,yes,invalid,1,2562
1128,VisualAnalogy,1,yes,valid,1,1087
1128,VisualAnalogy,1,no,valid,1,1411
1128,VisualAnalogy,1,yes,invalid,1,1225
1128,VisualAnalogy,1,no,valid,1,1195
1128,VisualAnalogy,2,yes,valid,0,1796
1128,VisualAnalogy,2,yes,valid,1,2360
1128,VisualAnalogy,1,yes,invalid,0,2507
1128,VisualAnalogy,2,yes,invalid,0,2301
1128,VisualAnalogy,2,yes,valid,0,2039
1128,VisualAnalogy,1,no,valid,0,1515
1128,VisualAnalogy,2,no,valid,0,1815
1128,VisualAnalogy,2,no,valid,0,2318
1128,VisualAnalogy,1,yes,valid,0,2538
1128,VisualAnalogy,1,yes,valid,1,3761
1128,VisualAnalogy,1,yes,valid,1,1870
1128,VisualAnalogy,2,yes,valid,1,2480
1128,VisualAnalogy,2,yes,invalid,0,3100
1128,VisualAnalogy,2,no,valid,1,2147
1128,VisualAnalogy,2,yes,invalid,0,1885
1128,VisualAnalogy,2,no,valid,1,2321
1128,VisualAnalogy,2,yes,invalid,1,2189
1128,VisualAnalogy,2,no,valid,0,1567
1128,VisualAnalogy,1,no,valid,1,867
1128,VisualAnalogy,1,no,valid,1,1244
1128,VisualAnalogy,1,yes,invalid,1,2256
1128,VisualAnalogy,1,yes,valid,1,2063
1128,VisualAnalogy,1,yes,valid,1,1865
1128,VisualAnalogy,1,yes,invalid,1,1322
1128,VisualAnalogy,2,yes,invalid,0,1982
1128,VisualAnalogy,1,no,valid,1,2280
1128,VisualAnalogy,2,no,valid,1,1372
1128,VisualAnalogy,2,yes,valid,0,1675
1128,VisualAnalogy,2,yes,valid,0,2484
1128,VisualAnalogy,1,yes,invalid,1,2208
1128,VisualAnalogy,2,yes,invalid,0,2167
1128,VisualAnalogy,1,yes,invalid,1,1492
1128,VisualAnalogy,1,yes,valid,1,1002
1128,VisualAnalogy,1,yes,valid,1,1166
1128,VisualAnalogy,1,no,valid,1,1298
1128,VisualAnalogy,2,yes,valid,0,1569
1128,VisualAnalogy,1,yes,valid,1,1464
1128,VisualAnalogy,2,yes,valid,1,2409
1128,VisualAnalogy,1,yes,valid,1,2136
1128,VisualAnalogy,2,yes,invalid,0,2015
1128,VisualAnalogy,2,yes,invalid,1,1150
1128,VisualAnalogy,2,yes,invalid,1,1071
1128,VisualAnalogy,2,no,valid,1,1520
1128,VisualAnalogy,1,yes,invalid,1,1548
1128,VisualAnalogy,1,no,valid,1,1294
1128,VisualAnalogy,1,no,valid,0,1292
1128,VisualAnalogy,1,yes,invalid,0,2059
1128,VisualAnalogy,2,no,valid,1,2082
1128,VisualAnalogy,1,yes,valid,1,1182
1128,VisualAnalogy,1,no,valid,1,1559
1128,VisualAnalogy,2,yes,invalid,1,1643
1128,VisualAnalogy,2,no,valid,1,1663
1128,VisualAnalogy,1,yes,valid,1,1225
1128,VisualAnalogy,2,no,valid,1,2346
1128,VisualAnalogy,2,no,valid,1,1820
1128,VisualAnalogy,1,yes,invalid,1,2851
1128,VisualAnalogy,2,yes,valid,1,3066
1128,VisualAnalogy,2,no,valid,1,1596
1128,VisualAnalogy,1,no,valid,1,2056
1128,VisualAnalogy,1,yes,invalid,1,1535
1128,VisualAnalogy,1,yes,invalid,1,2509
1128,VisualAnalogy,1,no,valid,1,2367
1128,VisualAnalogy,2,yes,valid,1,3203
1128,VisualAnalogy,2,yes,invalid,0,2864
1128,VisualAnalogy,2,yes,valid,1,2154
1128,VisualAnalogy,2,yes,invalid,1,3187
1128,VisualAnalogy,2,yes,valid,1,2845
1161,VisualAnalogy,1,no,valid,1,1625
1161,VisualAnalogy,1,no,valid,0,875
1161,VisualAnalogy,1,yes,invalid,1,452
1161,VisualAnalogy,2,yes,invalid,0,3562
1161,VisualAnalogy,1,yes,invalid,0,3343
1161,VisualAnalogy,2,no,valid,1,2601
1161,VisualAnalogy,2,yes,invalid,1,733
1161,VisualAnalogy,2,no,valid,1,236
1161,VisualAnalogy,2,yes,valid,0,231
1161,VisualAnalogy,2,yes,valid,0,496
1161,VisualAnalogy,1,yes,invalid,0,79
1161,VisualAnalogy,1,yes,valid,1,234
1161,VisualAnalogy,1,yes,valid,1,179
1161,VisualAnalogy,2,no,valid,0,289
1161,VisualAnalogy,2,no,valid,1,11383
1161,VisualAnalogy,1,yes,valid,0,6140
1161,VisualAnalogy,2,yes,invalid,0,1895
1161,VisualAnalogy,2,yes,invalid,0,382
1161,VisualAnalogy,1,yes,invalid,1,261
1161,VisualAnalogy,1,no,valid,0,531
1161,VisualAnalogy,2,yes,valid,1,409
1161,VisualAnalogy,1,no,valid,0,37
1161,VisualAnalogy,2,no,valid,1,248
1161,VisualAnalogy,1,yes,valid,1,100
1161,VisualAnalogy,1,yes,valid,0,258
1161,VisualAnalogy,2,no,valid,1,704
1161,VisualAnalogy,2,yes,invalid,0,825
1161,VisualAnalogy,2,yes,invalid,1,314
1161,VisualAnalogy,2,yes,valid,0,339
1161,VisualAnalogy,1,no,valid,1,514
1161,VisualAnalogy,1,yes,invalid,1,675
1161,VisualAnalogy,1,no,valid,1,660
1161,VisualAnalogy,2,yes,valid,1,850
1161,VisualAnalogy,2,yes,valid,1,697
1161,VisualAnalogy,1,yes,invalid,0,1039
1161,VisualAnalogy,1,yes,valid,1,938
1161,VisualAnalogy,2,yes,invalid,0,359
1161,VisualAnalogy,2,yes,valid,1,187
1161,VisualAnalogy,1,no,valid,0,252
1161,VisualAnalogy,2,yes,valid,0,202
1161,VisualAnalogy,2,yes,valid,1,318
1161,VisualAnalogy,2,no,valid,1,265
1161,VisualAnalogy,1,no,valid,0,298
1161,VisualAnalogy,2,yes,invalid,0,192
1161,VisualAnalogy,2,yes,invalid,1,273
1161,VisualAnalogy,2,no,valid,1,114
1161,VisualAnalogy,1,no,valid,1,243
1161,VisualAnalogy,1,yes,invalid,1,95
1161,VisualAnalogy,2,yes,invalid,0,253
1161,VisualAnalogy,1,no,valid,1,267
1161,VisualAnalogy,1,yes,valid,0,284
1161,VisualAnalogy,2,yes,invalid,1,320
1161,VisualAnalogy,2,no,valid,1,363
1161,VisualAnalogy,1,yes,invalid,0,303
1161,VisualAnalogy,1,no,valid,0,200
1161,VisualAnalogy,1,yes,invalid,1,235
1161,VisualAnalogy,2,yes,invalid,1,276
1161,VisualAnalogy,1,no,valid,1,232
1161,VisualAnalogy,2,no,valid,1,209
1161,VisualAnalogy,1,yes,invalid,1,260
1161,VisualAnalogy,1,yes,invalid,0,227
1161,VisualAnalogy,2,yes,valid,1,204
1161,VisualAnalogy,1,yes,valid,1,159
1161,VisualAnalogy,1,yes,valid,0,187
1161,VisualAnalogy,1,yes,valid,0,380
1161,VisualAnalogy,2,yes,valid,0,210
1161,VisualAnalogy,1,yes,valid,1,280
1161,VisualAnalogy,2,no,valid,1,300
1161,VisualAnalogy,1,yes,invalid,0,354
1161,VisualAnalogy,2,yes,valid,0,259
1161,VisualAnalogy,2,no,valid,0,241
1161,VisualAnalogy,1,yes,valid,0,173
1161,VisualAnalogy,1,yes,invalid,0,28256
1161,VisualAnalogy,1,yes,valid,1,10507
1161,VisualAnalogy,2,yes,valid,1,22512
1161,VisualAnalogy,1,no,valid,1,31644
1161,VisualAnalogy,2,yes,valid,1,33245
1161,VisualAnalogy,2,yes,invalid,1,32863
1161,VisualAnalogy,2,yes,invalid,1,4755
1161,VisualAnalogy,2,yes,invalid,1,19800
1161,VisualAnalogy,1,yes,invalid,1,6659
1161,VisualAnalogy,2,no,valid,0,15891
1161,VisualAnalogy,1,no,valid,1,2591
1161,VisualAnalogy,2,yes,valid,1,8593
1161,VisualAnalogy,2,no,valid,1,10248
1161,VisualAnalogy,1,yes,invalid,1,11401
1161,VisualAnalogy,1,no,valid,1,3553
1161,VisualAnalogy,1,yes,invalid,1,2611
1161,VisualAnalogy,1,yes,valid,1,4970
1161,VisualAnalogy,1,yes,valid,1,11066
1161,VisualAnalogy,2,no,valid,1,7583
1161,VisualAnalogy,2,yes,invalid,1,7082
1161,VisualAnalogy,2,no,valid,1,5905
1161,VisualAnalogy,1,yes,valid,1,10555
1161,VisualAnalogy,1,no,valid,1,4906
1161,VisualAnalogy,2,yes,invalid,1,2636
1161,VisualAnalogy,2,no,valid,1,12841
1161,VisualAnalogy,1,yes,invalid,1,2129
1161,VisualAnalogy,2,yes,invalid,1,8856
1161,VisualAnalogy,2,yes,valid,0,9089
1161,VisualAnalogy,1,yes,valid,1,3371
1161,VisualAnalogy,1,yes,invalid,1,2154
1161,VisualAnalogy,2,yes,valid,0,10964
1161,VisualAnalogy,1,yes,valid,1,3267
1161,VisualAnalogy,2,no,valid,1,6205
1161,VisualAnalogy,1,no,valid,1,3987
1161,VisualAnalogy,1,no,valid,1,5741
1161,VisualAnalogy,2,yes,valid,0,5656
1161,VisualAnalogy,1,yes,invalid,1,2445
1161,VisualAnalogy,2,yes,valid,1,4881
1161,VisualAnalogy,1,no,valid,1,1951
1161,VisualAnalogy,1,no,valid,1,2879
1161,VisualAnalogy,2,no,valid,1,5372
1161,VisualAnalogy,1,no,valid,1,3804
1161,VisualAnalogy,2,no,valid,1,5585
1161,VisualAnalogy,1,yes,valid,1,3676
1161,VisualAnalogy,2,no,valid,1,5800
1161,VisualAnalogy,1,yes,invalid,1,2254
1161,VisualAnalogy,1,yes,valid,1,5213
1161,VisualAnalogy,2,yes,valid,1,4509
1161,VisualAnalogy,1,yes,valid,1,8959
1161,VisualAnalogy,1,yes,invalid,1,4046
1161,VisualAnalogy,2,no,valid,1,3555
1161,VisualAnalogy,2,yes,invalid,1,12488
1161,VisualAnalogy,1,yes,valid,1,2186
1161,VisualAnalogy,1,yes,invalid,1,3404
1161,VisualAnalogy,2,yes,invalid,1,4657
1161,VisualAnalogy,1,yes,valid,1,2145
1161,VisualAnalogy,2,yes,valid,1,5402
